continente,edad,goles_seleccion,nombre_jugador,numero_partidos_seleccion,pais_donde_juega,pais_nacimiento,posicion
Oceanía,22,3,Aaron Duke,39,Australia,Australia,Defensa central
Oceanía,38,30,Aaron Duke Duke,90,Alemania,Australia,Extremo izquierdo
Oceanía,25,6,Aaron Goodwin,46,Alemania,Australia,Mediocampista ofensivo
Oceanía,26,0,Aaron Grant,43,Inglaterra,Australia,Defensa central
Oceanía,30,0,Aaron Grant Smith,69,Francia,Australia,Arquero
Oceanía,22,6,Aaron Leckie,24,Japón,Australia,Mediocampista defensivo
Oceanía,25,5,Aaron Leckie Goodwin,21,Australia,Australia,Defensa central
Oceanía,26,4,Aaron Mooy,26,Alemania,Australia,Mediocampista ofensivo
Oceanía,21,4,Aaron Rowles,15,Australia,Australia,Mediocampista ofensivo
África,32,0,Abdou Dieng,61,España,Senegal,Arquero
África,21,0,Abdou Koulibaly,6,Portugal,Senegal,Defensa central
África,34,12,Abdou Koulibaly Mané,104,Portugal,Senegal,Mediocampista ofensivo
África,22,7,Abdou Ndiaye,20,Marruecos,Senegal,Extremo derecho
África,22,9,Achraf Bono,46,Marruecos,Marruecos,Mediocampista defensivo
África,22,0,Achraf Ziyech,24,España,Marruecos,Arquero
Europa,32,15,Adrien Camara,113,España,Francia,Mediocampista defensivo
Europa,35,15,Adrien Camara Giroud,76,México,Francia,Lateral derecho
Europa,39,3,Adrien Diaby,80,Ecuador,Francia,Defensa central
Europa,25,10,Adrien Fofana,23,Inglaterra,Francia,Delantero centro
Europa,18,8,Adrien Kanté,8,España,Francia,Extremo izquierdo
Europa,38,30,Adrien Kanté Diaby,88,Japón,Francia,Extremo izquierdo
Europa,18,2,Adrien Kanté Giroud,2,Inglaterra,Francia,Extremo izquierdo
América del Sur,25,1,Agustín Acuña,77,Argentina,Argentina,Defensa central
América del Sur,32,8,Agustín Acuña Romero,57,Argentina,Argentina,Delantero centro
América del Sur,23,7,Agustín Martínez,51,Argentina,Argentina,Mediocampista ofensivo
África,25,22,Ahmed Adebayo,47,Nigeria,Nigeria,Extremo derecho
África,19,5,Ahmed Balogun,14,Nigeria,Nigeria,Extremo izquierdo
África,39,4,Ahmed Musa,86,Francia,Nigeria,Defensa central
África,35,11,Ahmed Nwankwo,104,Marruecos,Nigeria,Extremo izquierdo
África,26,6,Ahmed Okafor,13,Nigeria,Nigeria,Extremo derecho
África,24,0,Ahmed Onyeka,3,Nigeria,Nigeria,Lateral izquierdo
Oceanía,33,5,Aiden Goodwin,57,Australia,Australia,Lateral izquierdo
Oceanía,22,3,Aiden Rowles,16,Australia,Australia,Lateral izquierdo
África,36,0,Alex Balogun,61,Nigeria,Nigeria,Arquero
África,26,1,Alex Okafor,58,Brasil,Nigeria,Extremo derecho
África,36,2,Alex Omeruo,49,Nigeria,Nigeria,Mediocampista defensivo
América del Norte,19,0,Alexis Chávez,8,Inglaterra,México,Arquero
América del Norte,30,13,Alexis Hernández,106,México,México,Mediocampista defensivo
América del Norte,29,1,Alexis Jiménez,47,México,México,Defensa central
América del Norte,26,0,Alexis Sánchez,29,México,México,Lateral derecho
América del Norte,21,8,Alexis Sánchez Chávez,11,México,México,Extremo izquierdo
América del Norte,26,8,Alexis Sánchez García,56,Portugal,México,Lateral derecho
América del Norte,34,4,Alexis Sánchez Martínez,55,México,México,Lateral derecho
África,28,7,Amine Bono,54,Marruecos,Marruecos,Delantero centro
África,27,8,Amine El Haddadi,35,Inglaterra,Marruecos,Extremo derecho
África,35,13,Amine Hakimi,98,España,Marruecos,Mediocampista ofensivo
África,31,8,Amine Mazraoui,78,Estados Unidos,Marruecos,Mediocampista defensivo
África,37,35,Amine Saïss,88,Alemania,Marruecos,Delantero centro
África,37,15,Anas Amrabat,84,Marruecos,Marruecos,Extremo izquierdo
África,37,5,Anas Benali,101,México,Marruecos,Lateral derecho
África,19,4,Anas Benali Amrabat,4,España,Marruecos,Mediocampista ofensivo
África,34,4,Anas Benali El Haddadi,18,España,Marruecos,Mediocampista ofensivo
África,19,0,Anas Hakimi,8,Inglaterra,Marruecos,Lateral derecho
África,18,2,Anas Mazraoui,2,Estados Unidos,Marruecos,Mediocampista ofensivo
África,18,1,Anas Mazraoui El Haddadi,1,Marruecos,Marruecos,Mediocampista defensivo
África,30,3,Anas Mazraoui El Idrissi,50,Senegal,Marruecos,Mediocampista defensivo
Europa,20,0,André Fernandes,4,Japón,Portugal,Lateral derecho
Europa,24,11,André Fernandes Silva,59,Argentina,Portugal,Extremo derecho
Europa,19,6,André Santos,7,Argentina,Portugal,Mediocampista ofensivo
Europa,27,16,André Santos Silva,49,Portugal,Portugal,Mediocampista ofensivo
América del Sur,32,4,Andrés Caicedo,57,Francia,Ecuador,Defensa central
América del Sur,39,1,Andrés Caicedo Méndez,94,Ecuador,Ecuador,Lateral izquierdo
América del Sur,23,3,Andrés Preciado,13,Ecuador,Ecuador,Defensa central
América del Sur,30,37,Andrés Quintero,104,Ecuador,Ecuador,Delantero centro
América del Sur,35,24,Andrés Quintero Méndez,77,Ecuador,Ecuador,Mediocampista ofensivo
América del Sur,26,0,Andrés Valencia,45,Inglaterra,Ecuador,Lateral derecho
Europa,23,0,Antoine Dubois,46,Australia,Francia,Arquero
Europa,38,9,Antoine Fofana,90,Inglaterra,Francia,Lateral izquierdo
Europa,18,4,Antoine Petit,4,Australia,Francia,Extremo izquierdo
Europa,19,5,Antoine Petit Petit,7,Francia,Francia,Extremo derecho
Asia,37,1,Ao Ito,27,Japón,Japón,Defensa central
Asia,28,12,Ao Ito Ito,49,Japón,Japón,Delantero centro
Asia,34,6,Ao Ito Morita,38,Japón,Japón,Mediocampista defensivo
Asia,25,12,Ao Kamada,19,Australia,Japón,Extremo izquierdo
Asia,37,0,Ao Suzuki,62,Estados Unidos,Japón,Arquero
Europa,27,0,Aurélien Camara,75,Senegal,Francia,Arquero
Europa,20,2,Aurélien Camara Giroud,18,Francia,Francia,Defensa central
Europa,32,13,Aurélien Camara Martin,67,Inglaterra,Francia,Delantero centro
Europa,19,7,Aurélien Diaby,7,Francia,Francia,Delantero centro
Europa,39,11,Aurélien Fofana,60,Francia,Francia,Lateral derecho
Europa,33,14,Aurélien Giroud,50,Francia,Francia,Delantero centro
Europa,21,1,Aurélien Kanté,16,Marruecos,Francia,Mediocampista defensivo
Europa,22,14,Aurélien Mbappé,14,Francia,Francia,Delantero centro
Europa,28,5,Aurélien Petit,54,Argentina,Francia,Mediocampista ofensivo
Asia,26,19,Ayase Endo,45,Alemania,Japón,Delantero centro
Asia,22,3,Ayase Ito,23,Alemania,Japón,Defensa central
Asia,19,1,Ayase Kamada,1,Japón,Japón,Extremo derecho
Asia,23,4,Ayase Yamamoto,38,Francia,Japón,Lateral izquierdo
Asia,37,9,Ayase Yamamoto Tanaka,41,Inglaterra,Japón,Extremo izquierdo
Europa,30,4,Bernardo Ferreira,18,Portugal,Portugal,Extremo izquierdo
Europa,29,11,Bernardo Neves,37,Portugal,Portugal,Mediocampista ofensivo
Europa,18,0,Bernardo Oliveira,4,Portugal,Portugal,Arquero
Europa,38,12,Bernardo Santos,61,Estados Unidos,Portugal,Extremo izquierdo
Europa,18,0,Bernardo Silva,3,Alemania,Portugal,Arquero
África,29,6,Bilal Amrabat,58,España,Marruecos,Defensa central
África,34,8,Bilal El Idrissi,68,Marruecos,Marruecos,Lateral izquierdo
África,31,7,Bilal En-Nesyri,94,Senegal,Marruecos,Defensa central
África,32,2,Bilal Hakimi,34,Marruecos,Marruecos,Lateral derecho
África,20,2,Bilal Hakimi Benali,9,Marruecos,Marruecos,Extremo derecho
África,21,1,Bilal Ziyech,1,España,Marruecos,Extremo derecho
África,38,22,Bilal Ziyech El Idrissi,72,Inglaterra,Marruecos,Delantero centro
Oceanía,23,1,Blake Grant,36,Alemania,Australia,Lateral izquierdo
Oceanía,34,5,Blake Irvine,62,Inglaterra,Australia,Defensa central
Oceanía,32,9,Blake Maclaren,87,Australia,Australia,Lateral izquierdo
Oceanía,23,0,Blake Mooy,44,Australia,Australia,Arquero
Oceanía,19,1,Blake Rowles,1,Japón,Australia,Defensa central
Oceanía,34,12,Blake Ryan,66,Australia,Australia,Mediocampista defensivo
África,33,26,Boulaye Diallo,68,Inglaterra,Senegal,Delantero centro
África,18,0,Boulaye Diallo Mané,3,Senegal,Senegal,Arquero
África,27,41,Boulaye Fall,70,España,Senegal,Delantero centro
África,35,6,Boulaye Gueye,49,España,Senegal,Defensa central
África,18,0,Boulaye Gueye Diallo,3,Senegal,Senegal,Lateral izquierdo
América del Norte,26,5,Brandon Adams,14,Francia,Estados Unidos,Extremo izquierdo
América del Norte,28,1,Brandon Adams Miller,57,Estados Unidos,Estados Unidos,Lateral derecho
América del Norte,38,2,Brandon Adams Robinson,27,Argentina,Estados Unidos,Lateral derecho
América del Norte,24,3,Brandon Morris,54,Inglaterra,Estados Unidos,Lateral derecho
América del Norte,31,21,Brandon Pulisic,97,Inglaterra,Estados Unidos,Extremo derecho
América del Norte,28,3,Brandon Robinson,76,Senegal,Estados Unidos,Mediocampista defensivo
América del Norte,30,7,Brandon Zimmerman,90,Estados Unidos,Estados Unidos,Mediocampista ofensivo
América del Sur,37,19,Bruno Ferreira,77,Brasil,Brasil,Mediocampista defensivo
Europa,35,4,Bruno Ferreira Pereira,101,Portugal,Portugal,Delantero centro
Europa,32,43,Bruno Gomes,54,Inglaterra,Portugal,Delantero centro
América del Sur,27,0,Bruno Lima,38,Senegal,Brasil,Arquero
América del Sur,30,3,Bruno Lima Pereira,16,Alemania,Brasil,Mediocampista defensivo
América del Sur,24,5,Bruno Lima Silva,32,Brasil,Brasil,Lateral izquierdo
Europa,35,9,Bruno Neves,49,Portugal,Portugal,Mediocampista ofensivo
América del Sur,30,2,Bruno Oliveira,60,Brasil,Brasil,Lateral izquierdo
América del Sur,31,2,Bruno Oliveira Ferreira,84,Brasil,Brasil,Defensa central
Europa,28,13,Bruno Pereira,40,Australia,Portugal,Delantero centro
América del Sur,34,1,Bruno Santos,67,Estados Unidos,Brasil,Lateral derecho
Europa,25,5,Bruno Santos 991,56,Portugal,Portugal,Lateral derecho
Europa,37,0,Bruno Santos Fernandes,115,Portugal,Portugal,Arquero
América del Sur,34,3,Bruno Santos Oliveira,64,Portugal,Brasil,Defensa central
América del Sur,39,5,Bruno Silva,118,México,Brasil,Defensa central
Europa,26,6,Bruno Silva Pereira,21,Alemania,Portugal,Extremo derecho
América del Sur,35,2,Bryan Arboleda,55,México,Ecuador,Defensa central
América del Sur,24,0,Bryan Arboleda Preciado,46,México,Ecuador,Arquero
América del Sur,34,12,Bryan Caicedo,53,Ecuador,Ecuador,Mediocampista defensivo
América del Sur,18,3,Bryan Cedeño,3,Francia,Ecuador,Extremo izquierdo
América del Sur,22,2,Bryan Cedeño Mina,17,Francia,Ecuador,Mediocampista defensivo
América del Sur,27,20,Bryan Méndez,34,Ecuador,Ecuador,Delantero centro
América del Sur,26,1,Bryan Quintero,30,Marruecos,Ecuador,Extremo izquierdo
América del Sur,33,4,Bryan Quintero Gruezo,106,Nigeria,Ecuador,Lateral derecho
Europa,28,26,Bukayo Brown,53,Inglaterra,Inglaterra,Extremo derecho
Europa,30,19,Bukayo Jones,99,Inglaterra,Inglaterra,Mediocampista ofensivo
Europa,23,6,Bukayo Walker,18,Inglaterra,Inglaterra,Delantero centro
Europa,21,1,Bukayo Walker Brown,26,Inglaterra,Inglaterra,Mediocampista defensivo
Europa,34,4,Bukayo Walker Walker,89,Inglaterra,Inglaterra,Mediocampista defensivo
Europa,18,2,Bukayo Wilson,8,España,Inglaterra,Defensa central
América del Sur,25,0,Caio Ferreira,64,Brasil,Brasil,Arquero
América del Sur,30,11,Caio Oliveira,77,Brasil,Brasil,Delantero centro
Europa,37,17,Callum Green,94,Francia,Inglaterra,Extremo izquierdo
Europa,18,1,Callum King,5,Inglaterra,Inglaterra,Delantero centro
Europa,21,2,Callum Smith,13,Inglaterra,Inglaterra,Defensa central
Europa,27,10,Callum White,26,España,Inglaterra,Extremo izquierdo
Europa,34,40,Callum White Wilson,72,Inglaterra,Inglaterra,Delantero centro
Europa,35,2,Callum Wilson,98,Portugal,Inglaterra,Lateral derecho
África,19,1,Calvin Adebayo,17,Alemania,Nigeria,Lateral derecho
África,32,32,Calvin Eze,74,Nigeria,Nigeria,Extremo izquierdo
África,27,3,Calvin Iheanacho,36,Nigeria,Nigeria,Defensa central
África,29,16,Calvin Osimhen,68,Francia,Nigeria,Extremo izquierdo
América del Norte,37,18,Cameron Adams,45,Estados Unidos,Estados Unidos,Delantero centro
América del Norte,30,4,Cameron Adams Carter,64,Japón,Estados Unidos,Lateral izquierdo
América del Norte,35,0,Cameron Carter,64,Argentina,Estados Unidos,Defensa central
América del Norte,33,58,Cameron Carter Zimmerman,101,Estados Unidos,Estados Unidos,Delantero centro
América del Norte,39,4,Cameron Morris,24,Estados Unidos,Estados Unidos,Defensa central
América del Norte,35,5,Cameron Reyna,108,Estados Unidos,Estados Unidos,Defensa central
América del Norte,27,1,Cameron Turner,46,Estados Unidos,Estados Unidos,Lateral izquierdo
América del Norte,23,0,Cameron Zimmerman,7,Estados Unidos,Estados Unidos,Defensa central
Europa,35,6,Carlos Alonso,89,España,España,Extremo derecho
Europa,35,6,Carlos Alonso Martínez,60,España,España,Lateral derecho
Europa,29,3,Carlos Alonso Ruiz,26,España,España,Mediocampista defensivo
Europa,34,4,Carlos Alonso Sánchez,56,Francia,España,Defensa central
América del Sur,24,0,Carlos Arboleda,33,Portugal,Ecuador,Arquero
América del Sur,27,1,Carlos Cedeño,10,Brasil,Ecuador,Mediocampista defensivo
América del Norte,23,4,Carlos Chávez,28,México,México,Mediocampista defensivo
América del Norte,35,36,Carlos Chávez García,123,Ecuador,México,Extremo izquierdo
América del Norte,29,10,Carlos Chávez Jiménez,67,México,México,Lateral derecho
América del Norte,25,1,Carlos Chávez Martínez,44,Estados Unidos,México,Lateral derecho
América del Norte,20,8,Carlos Chávez Ramírez,18,México,México,Delantero centro
América del Norte,38,0,Carlos García,25,México,México,Defensa central
América del Norte,18,1,Carlos Jiménez,8,Argentina,México,Defensa central
Europa,34,1,Carlos López,104,España,España,Defensa central
Europa,31,7,Carlos Martínez,41,Brasil,España,Lateral izquierdo
Europa,25,2,Carlos Martínez Alonso,54,España,España,Lateral derecho
Europa,21,5,Carlos Martínez Torres,14,Argentina,España,Mediocampista ofensivo
América del Sur,33,7,Carlos Mina,18,Inglaterra,Ecuador,Delantero centro
América del Norte,33,14,Carlos Moreno,106,España,México,Mediocampista ofensivo
América del Norte,37,11,Carlos Moreno López,49,Ecuador,México,Mediocampista ofensivo
América del Sur,30,1,Carlos Méndez,78,Estados Unidos,Ecuador,Lateral izquierdo
América del Sur,28,17,Carlos Méndez Cedeño,58,España,Ecuador,Delantero centro
América del Sur,39,7,Carlos Quintero,42,Ecuador,Ecuador,Defensa central
América del Norte,22,3,Carlos Ramírez,22,México,México,Mediocampista ofensivo
Europa,18,0,Carlos Rodríguez,5,España,España,Defensa central
Europa,28,13,Carlos Rodríguez Pérez,56,Alemania,España,Delantero centro
América del Norte,38,36,Carlos Sánchez,46,Australia,México,Delantero centro
América del Sur,35,5,Carlos Valencia,51,Marruecos,Ecuador,Mediocampista ofensivo
África,24,4,Cheikhou Diop,14,Senegal,Senegal,Mediocampista ofensivo
África,38,8,Cheikhou Fall,73,Senegal,Senegal,Defensa central
África,26,7,Cheikhou Gueye,66,Senegal,Senegal,Extremo izquierdo
África,20,6,Cheikhou Koulibaly,12,Inglaterra,Senegal,Extremo derecho
África,22,6,Cheikhou Mané,20,Brasil,Senegal,Extremo derecho
África,30,0,Cheikhou Mané Mané,14,Senegal,Senegal,Defensa central
África,38,7,Chidera Iheanacho,94,España,Nigeria,Extremo izquierdo
África,37,1,Chidera Omeruo,47,Nigeria,Nigeria,Lateral derecho
África,22,13,Chidera Onyeka,23,Nigeria,Nigeria,Extremo derecho
África,37,10,Chidera Osimhen,25,Senegal,Nigeria,Extremo derecho
América del Norte,29,9,Christian Johnson,58,Inglaterra,Estados Unidos,Extremo derecho
América del Norte,22,0,Christian Johnson Adams,31,Estados Unidos,Estados Unidos,Arquero
América del Norte,37,4,Christian Miller,110,España,Estados Unidos,Lateral derecho
América del Norte,33,1,Christian Miller Adams,63,Estados Unidos,Estados Unidos,Defensa central
América del Norte,32,4,Christian Miller Carter,55,España,Estados Unidos,Mediocampista ofensivo
América del Norte,27,25,Christian Miller Johnson,34,Estados Unidos,Estados Unidos,Delantero centro
América del Norte,20,7,Christian Morris,7,México,Estados Unidos,Delantero centro
América del Norte,29,6,Christian Pulisic,44,España,Estados Unidos,Lateral derecho
América del Norte,36,0,Christian Robinson,30,Ecuador,Estados Unidos,Lateral derecho
América del Norte,38,9,Christian Robinson Morris,9,Alemania,Estados Unidos,Extremo izquierdo
América del Norte,35,34,Christian Turner,99,Estados Unidos,Estados Unidos,Extremo derecho
Oceanía,27,7,Connor Grant,36,Inglaterra,Australia,Lateral derecho
Oceanía,33,8,Connor Maclaren,36,Australia,Australia,Mediocampista defensivo
Oceanía,38,6,Connor Maclaren Leckie,71,Australia,Australia,Mediocampista ofensivo
Oceanía,20,1,Connor Ryan,22,Senegal,Australia,Mediocampista defensivo
Oceanía,37,19,Connor Smith,81,Inglaterra,Australia,Mediocampista ofensivo
Oceanía,28,6,Craig Duke,61,Inglaterra,Australia,Lateral izquierdo
Oceanía,30,2,Craig Duke Goodwin,97,Alemania,Australia,Mediocampista defensivo
Oceanía,29,16,Craig Grant,35,Australia,Australia,Extremo izquierdo
Oceanía,36,22,Craig Grant Ryan,75,Australia,Australia,Mediocampista ofensivo
Oceanía,31,11,Craig Leckie,53,Estados Unidos,Australia,Mediocampista ofensivo
Oceanía,30,2,Craig Mooy,81,España,Australia,Lateral izquierdo
Oceanía,25,1,Craig Ryan,28,Australia,Australia,Defensa central
Europa,18,0,Cristiano Oliveira,9,Nigeria,Portugal,Lateral derecho
América del Norte,37,6,César García,30,Ecuador,México,Mediocampista ofensivo
América del Norte,21,9,César López,18,México,México,Delantero centro
América del Norte,20,0,César Ramírez,12,Senegal,México,Arquero
América del Norte,28,1,César Rodríguez,52,Argentina,México,Lateral izquierdo
América del Norte,27,38,César Rodríguez Hernández,73,México,México,Delantero centro
Asia,28,8,Daichi Endo,41,Estados Unidos,Japón,Lateral izquierdo
Asia,38,3,Daichi Ito,33,Japón,Japón,Defensa central
Asia,27,3,Daichi Ito Kamada,39,Alemania,Japón,Defensa central
Asia,37,6,Daichi Ito Suzuki,44,Japón,Japón,Defensa central
Asia,29,6,Daichi Morita,57,Australia,Japón,Mediocampista defensivo
Asia,26,34,Daichi Nakamura,64,Japón,Japón,Delantero centro
Asia,21,8,Daichi Sato,25,Brasil,Japón,Extremo izquierdo
Asia,37,18,Daichi Suzuki,98,Australia,Japón,Delantero centro
Asia,25,7,Daichi Tanaka,36,Inglaterra,Japón,Extremo derecho
Asia,22,2,Daichi Yamamoto,17,Japón,Japón,Mediocampista defensivo
Asia,37,2,Daichi Yamamoto Tanaka,24,Japón,Japón,Lateral izquierdo
Europa,21,7,Dani Martínez,13,España,España,Extremo derecho
Europa,24,8,Dani Sánchez,46,Argentina,España,Mediocampista defensivo
Europa,22,0,Dani Sánchez López,18,España,España,Arquero
América del Sur,28,24,Danilo Barbosa,73,Brasil,Brasil,Delantero centro
América del Sur,19,0,Danilo Costa,8,México,Brasil,Lateral derecho
América del Sur,19,8,Danilo Pereira,12,Inglaterra,Brasil,Extremo derecho
América del Sur,18,0,Danilo Souza,1,Estados Unidos,Brasil,Lateral derecho
Europa,22,4,Declan King,4,Inglaterra,Inglaterra,Delantero centro
Europa,23,4,Declan Smith,44,Inglaterra,Inglaterra,Lateral izquierdo
Europa,23,3,Declan Walker,46,Inglaterra,Inglaterra,Defensa central
Europa,32,47,Declan Walker Wilson,61,México,Inglaterra,Delantero centro
Europa,29,19,Declan White,57,Inglaterra,Inglaterra,Extremo izquierdo
Europa,25,22,Declan White White,57,Inglaterra,Inglaterra,Delantero centro
Europa,30,1,Declan Wilson,51,Inglaterra,Inglaterra,Defensa central
Europa,19,1,Declan Wright,4,Inglaterra,Inglaterra,Defensa central
Europa,34,0,Declan Wright Wright,89,Alemania,Inglaterra,Arquero
América del Sur,25,1,Diego Ferreira,11,Brasil,Brasil,Lateral izquierdo
América del Norte,24,23,Diego Jiménez,50,México,México,Extremo izquierdo
América del Sur,32,0,Diego Lima,23,Brasil,Brasil,Arquero
América del Norte,23,24,Diego López,30,México,México,Delantero centro
América del Norte,21,6,Diego Moreno,16,México,México,Extremo izquierdo
América del Sur,22,12,Diego Oliveira,22,Brasil,Brasil,Extremo izquierdo
América del Sur,27,3,Diego Oliveira Pereira,3,Brasil,Brasil,Mediocampista ofensivo
América del Sur,31,8,Diego Pereira,45,Argentina,Brasil,Mediocampista defensivo
América del Norte,39,1,Diego Ramírez,111,México,México,Lateral derecho
América del Norte,30,2,Diego Rodríguez,29,España,México,Defensa central
América del Norte,19,4,Diego Sánchez,4,México,México,Mediocampista ofensivo
Europa,38,4,Diogo Costa,39,Argentina,Portugal,Lateral izquierdo
Europa,22,2,Diogo Ferreira,27,Portugal,Portugal,Defensa central
Europa,35,3,Diogo Gomes,32,Portugal,Portugal,Mediocampista defensivo
Europa,27,3,Diogo Gomes Costa,13,México,Portugal,Mediocampista defensivo
América del Sur,35,0,Dixon Caicedo,78,Estados Unidos,Ecuador,Arquero
América del Sur,26,10,Dixon Chávez,79,Ecuador,Ecuador,Mediocampista defensivo
América del Sur,25,1,Dixon Gruezo,49,Inglaterra,Ecuador,Lateral izquierdo
América del Sur,34,8,Dixon Gruezo Chávez,124,Ecuador,Ecuador,Mediocampista defensivo
América del Sur,33,14,Dixon Gruezo Mina,119,Ecuador,Ecuador,Mediocampista ofensivo
América del Sur,28,0,Dixon Preciado,47,Alemania,Ecuador,Lateral izquierdo
América del Norte,31,10,Emiliano García,88,México,México,Lateral izquierdo
América del Norte,22,14,Emiliano Jiménez,43,México,México,Delantero centro
América del Norte,21,0,Emiliano López,21,México,México,Defensa central
América del Sur,19,2,Emiliano Molina,3,Argentina,Argentina,Mediocampista defensivo
América del Sur,28,8,Emiliano Pérez,66,España,Argentina,Lateral izquierdo
América del Norte,37,0,Emiliano Ramírez,108,Brasil,México,Arquero
América del Norte,20,1,Emiliano Ramírez Jiménez,11,Ecuador,México,Defensa central
América del Norte,21,4,Emiliano Rodríguez,24,México,México,Lateral derecho
América del Sur,19,9,Emiliano Rodríguez Molina,13,Argentina,Argentina,Extremo derecho
África,25,12,Emmanuel Adebayo,34,Alemania,Nigeria,Delantero centro
África,30,1,Emmanuel Balogun,50,Nigeria,Nigeria,Defensa central
África,20,11,Emmanuel Eze,18,Nigeria,Nigeria,Delantero centro
África,21,26,Emmanuel Okafor,37,Nigeria,Nigeria,Delantero centro
África,32,13,Emmanuel Osimhen,37,Brasil,Nigeria,Delantero centro
América del Norte,21,11,Ethan Johnson,27,Senegal,Estados Unidos,Extremo derecho
América del Norte,21,3,Ethan Miller,15,España,Estados Unidos,Defensa central
América del Norte,28,5,Ethan Miller Pulisic,37,España,Estados Unidos,Lateral derecho
América del Sur,36,11,Facundo González,36,España,Argentina,Delantero centro
América del Sur,23,5,Facundo Romero,7,Nigeria,Argentina,Delantero centro
América del Sur,22,0,Facundo Romero Fernández,7,Estados Unidos,Argentina,Defensa central
América del Sur,34,10,Facundo Romero Molina,120,Portugal,Argentina,Lateral derecho
América del Sur,36,4,Felipe Almeida,100,Brasil,Brasil,Defensa central
América del Sur,31,6,Felipe Lima,27,Brasil,Brasil,Defensa central
América del Sur,35,3,Felipe Santos,66,Argentina,Brasil,Defensa central
América del Sur,30,14,Felipe Santos Almeida,77,Alemania,Brasil,Extremo izquierdo
América del Sur,25,0,Felipe Silva,25,Brasil,Brasil,Lateral derecho
América del Sur,33,0,Felipe Souza,79,Brasil,Brasil,Arquero
Europa,20,1,Ferran Moreno,1,España,España,Delantero centro
Europa,21,2,Ferran Moreno Pérez,12,España,España,Lateral izquierdo
Europa,34,22,Ferran Moreno Ruiz,83,España,España,Mediocampista ofensivo
Europa,31,4,Ferran Pérez,57,España,España,Lateral izquierdo
Europa,32,0,Ferran Pérez Torres,99,Francia,España,Arquero
Europa,24,11,Florian Becker,29,Inglaterra,Alemania,Extremo izquierdo
Europa,31,11,Florian Becker Müller,58,Alemania,Alemania,Lateral derecho
Europa,19,0,Florian Fischer,18,Japón,Alemania,Defensa central
Europa,18,2,Florian Koch,2,Alemania,Alemania,Delantero centro
Europa,32,29,Florian Schneider,51,Alemania,Alemania,Delantero centro
Europa,34,1,Florian Wagner,39,Francia,Alemania,Lateral izquierdo
Europa,25,6,Florian Weber,55,Alemania,Alemania,Lateral izquierdo
América del Sur,25,6,Franco Acuña,53,Argentina,Argentina,Defensa central
América del Sur,22,2,Franco González,13,Argentina,Argentina,Lateral derecho
